LS,Level,Section,Row,Seat,Seat Status Code,Price Level Code,Item Price
S:5:10:12,S,5,10,12,s,18,0
S:5:10:11,S,5,10,11,s,18,0
S:5:10:10,S,5,10,10,s,18,0
S:5:10:9,S,5,10,9,s,18,0
S:5:10:8,S,5,10,8,s,18,0
S:5:10:7,S,5,10,7,s,18,0
S:5:10:6,S,5,10,6,s,18,0
S:5:10:5,S,5,10,5,s,18,0
S:5:10:4,S,5,10,4,s,18,0
S:5:10:3,S,5,10,3,s,18,0
S:5:10:2,S,5,10,2,s,18,0
S:5:10:1,S,5,10,1,s,18,0
S:4:10:15,S,4,10,15,s,18,0
S:4:10:14,S,4,10,14,s,18,0
S:4:10:13,S,4,10,13,s,18,0
S:4:10:12,S,4,10,12,s,18,0
S:4:10:11,S,4,10,11,s,18,0
S:4:10:10,S,4,10,10,s,18,0
S:4:10:9,S,4,10,9,s,18,0
S:4:10:8,S,4,10,8,s,18,0
S:4:10:7,S,4,10,7,s,18,0
S:4:10:6,S,4,10,6,s,18,0
S:4:10:5,S,4,10,5,s,18,0
S:4:10:4,S,4,10,4,s,18,0
S:4:10:3,S,4,10,3,s,18,0
S:4:10:2,S,4,10,2,s,18,0
S:4:10:1,S,4,10,1,s,18,0
S:3:10:15,S,3,10,15,s,18,0
S:3:10:14,S,3,10,14,s,18,0
S:3:10:13,S,3,10,13,s,18,0
S:3:10:12,S,3,10,12,s,18,0
S:3:10:11,S,3,10,11,s,18,0
S:3:10:10,S,3,10,10,s,18,0
S:3:10:9,S,3,10,9,s,18,0
S:3:10:8,S,3,10,8,s,18,0
S:3:10:7,S,3,10,7,s,18,0
S:3:10:6,S,3,10,6,s,18,0
S:3:10:5,S,3,10,5,s,18,0
S:3:10:4,S,3,10,4,s,18,0
S:3:10:3,S,3,10,3,s,18,0
S:3:10:2,S,3,10,2,s,18,0
S:3:10:1,S,3,10,1,s,18,0
S:2:10:15,S,2,10,15,s,18,0
S:2:10:14,S,2,10,14,s,18,0
S:2:10:13,S,2,10,13,s,18,0
S:2:10:12,S,2,10,12,s,18,0
S:2:10:11,S,2,10,11,s,18,0
S:2:10:10,S,2,10,10,s,18,0
S:2:10:9,S,2,10,9,s,18,0
S:2:10:8,S,2,10,8,s,18,0
S:2:10:7,S,2,10,7,s,18,0
S:2:10:6,S,2,10,6,s,18,0
S:2:10:5,S,2,10,5,s,18,0
S:2:10:4,S,2,10,4,s,18,0
S:2:10:3,S,2,10,3,s,18,0
S:2:10:2,S,2,10,2,s,18,0
S:2:10:1,S,2,10,1,s,18,0
S:11:10:15,S,11,10,15,K,18,0
S:11:10:14,S,11,10,14,K,18,0
S:11:10:13,S,11,10,13,K,18,0
S:11:10:12,S,11,10,12,K,18,0
S:11:10:11,S,11,10,11,K,18,0
S:11:10:10,S,11,10,10,K,18,0
S:11:10:9,S,11,10,9,K,18,0
S:11:10:8,S,11,10,8,K,18,0
S:11:10:7,S,11,10,7,K,18,0
S:11:10:6,S,11,10,6,K,18,0
S:11:10:5,S,11,10,5,K,18,0
S:11:10:4,S,11,10,4,K,18,0
S:11:10:3,S,11,10,3,K,18,0
S:11:10:2,S,11,10,2,K,18,0
S:11:10:1,S,11,10,1,K,18,0
S:10:10:15,S,10,10,15,K,18,0
S:10:10:14,S,10,10,14,K,18,0
S:10:10:13,S,10,10,13,K,18,0
S:4:11:10,S,4,11,10,s,18,0
S:4:11:11,S,4,11,11,s,18,0
S:4:11:12,S,4,11,12,s,18,0
S:4:11:13,S,4,11,13,s,18,0
S:4:11:14,S,4,11,14,s,18,0
S:4:11:15,S,4,11,15,s,18,0
S:5:11:1,S,5,11,1,s,18,0
S:5:11:2,S,5,11,2,s,18,0
S:5:11:3,S,5,11,3,s,18,0
S:5:11:4,S,5,11,4,s,18,0
S:5:11:13,S,5,11,13,s,18,0
S:5:11:14,S,5,11,14,s,18,0
S:5:11:15,S,5,11,15,s,18,0
S:9:1:15,S,9,1,15,K,18,0
S:9:1:14,S,9,1,14,K,18,0
S:9:1:13,S,9,1,13,K,18,0
S:9:1:12,S,9,1,12,K,18,0
S:9:1:11,S,9,1,11,K,18,0
S:9:1:10,S,9,1,10,K,18,0
S:9:1:9,S,9,1,9,K,18,0
S:9:1:8,S,9,1,8,K,18,0
S:9:1:7,S,9,1,7,K,18,0
S:9:1:6,S,9,1,6,K,18,0
S:9:1:5,S,9,1,5,K,18,0
S:9:1:4,S,9,1,4,K,18,0
S:9:1:3,S,9,1,3,K,18,0
S:9:1:2,S,9,1,2,K,18,0
S:9:1:1,S,9,1,1,K,18,0
S:8:1:5,S,8,1,5,K,18,0
S:8:1:4,S,8,1,4,K,18,0
S:8:1:3,S,8,1,3,K,18,0
S:8:1:2,S,8,1,2,K,18,0
S:8:1:1,S,8,1,1,K,18,0
S:7:1:15,S,7,1,15,s,18,0
S:7:1:14,S,7,1,14,s,18,0
S:7:1:13,S,7,1,13,s,18,0
S:7:1:12,S,7,1,12,s,18,0
S:7:1:11,S,7,1,11,s,18,0
S:7:1:10,S,7,1,10,s,18,0
S:7:1:9,S,7,1,9,s,18,0
S:7:1:8,S,7,1,8,s,18,0
S:7:1:7,S,7,1,7,s,18,0
S:7:1:6,S,7,1,6,s,18,0
S:7:1:5,S,7,1,5,s,18,0
S:7:1:4,S,7,1,4,s,18,0
S:7:1:3,S,7,1,3,s,18,0
S:7:1:2,S,7,1,2,s,18,0
S:7:1:1,S,7,1,1,s,18,0
S:5:1:15,S,5,1,15,s,18,0
S:5:1:14,S,5,1,14,s,18,0
S:5:1:13,S,5,1,13,s,18,0
S:5:1:12,S,5,1,12,s,18,0
S:5:1:11,S,5,1,11,s,18,0
S:5:1:10,S,5,1,10,s,18,0
S:5:1:9,S,5,1,9,s,18,0
S:5:1:8,S,5,1,8,s,18,0
S:5:1:7,S,5,1,7,s,18,0
S:5:1:6,S,5,1,6,s,18,0
S:5:1:5,S,5,1,5,s,18,0
S:5:1:4,S,5,1,4,s,18,0
S:5:1:3,S,5,1,3,s,18,0
S:5:1:2,S,5,1,2,s,18,0
S:5:1:1,S,5,1,1,s,18,0
S:4:1:15,S,4,1,15,s,18,0
S:4:1:14,S,4,1,14,s,18,0
S:4:1:13,S,4,1,13,s,18,0
S:4:1:12,S,4,1,12,s,18,0
S:4:1:11,S,4,1,11,s,18,0
S:4:1:10,S,4,1,10,s,18,0
S:4:1:9,S,4,1,9,s,18,0
S:4:1:8,S,4,1,8,s,18,0
S:4:1:7,S,4,1,7,s,18,0
S:4:1:6,S,4,1,6,s,18,0
S:4:1:5,S,4,1,5,s,18,0
S:4:1:4,S,4,1,4,s,18,0
S:4:1:3,S,4,1,3,s,18,0
S:4:1:2,S,4,1,2,s,18,0
S:4:1:1,S,4,1,1,s,18,0
S:3:1:15,S,3,1,15,s,18,0
S:3:1:14,S,3,1,14,s,18,0
S:3:1:13,S,3,1,13,s,18,0
S:3:1:12,S,3,1,12,s,18,0
S:3:1:11,S,3,1,11,s,18,0
S:3:1:10,S,3,1,10,s,18,0
S:3:1:9,S,3,1,9,s,18,0
S:3:1:8,S,3,1,8,s,18,0
S:3:1:7,S,3,1,7,s,18,0
S:3:1:6,S,3,1,6,s,18,0
S:3:1:5,S,3,1,5,s,18,0
S:3:1:4,S,3,1,4,s,18,0
S:3:1:3,S,3,1,3,s,18,0
S:3:1:2,S,3,1,2,s,18,0
S:3:1:1,S,3,1,1,s,18,0
S:2:1:15,S,2,1,15,s,18,0
S:2:1:14,S,2,1,14,s,18,0
S:2:1:13,S,2,1,13,s,18,0
S:2:1:12,S,2,1,12,s,18,0
S:2:1:11,S,2,1,11,s,18,0
S:2:1:10,S,2,1,10,s,18,0
S:2:1:9,S,2,1,9,s,18,0
S:2:1:8,S,2,1,8,s,18,0
S:2:1:7,S,2,1,7,s,18,0
S:2:1:6,S,2,1,6,s,18,0
S:2:1:5,S,2,1,5,s,18,0
S:2:1:4,S,2,1,4,s,18,0
S:2:1:3,S,2,1,3,s,18,0
S:2:1:2,S,2,1,2,s,18,0
S:2:1:1,S,2,1,1,s,18,0
S:11:1:15,S,11,1,15,K,18,0
S:11:1:14,S,11,1,14,K,18,0
S:11:1:13,S,11,1,13,K,18,0
S:11:1:12,S,11,1,12,K,18,0
S:11:1:11,S,11,1,11,K,18,0
S:11:1:10,S,11,1,10,K,18,0
S:11:1:9,S,11,1,9,K,18,0
S:11:1:8,S,11,1,8,K,18,0
S:11:1:7,S,11,1,7,K,18,0
S:9:11:13,S,9,11,13,K,18,0
S:9:11:14,S,9,11,14,K,18,0
S:9:11:15,S,9,11,15,K,18,0
S:7:11:13,S,7,11,13,K,18,0
S:7:11:14,S,7,11,14,K,18,0
S:7:11:15,S,7,11,15,K,18,0
S:8:11:15,S,8,11,15,K,18,0
S:10:12:11,S,10,12,11,K,18,0
S:10:12:12,S,10,12,12,K,18,0
S:10:12:13,S,10,12,13,K,18,0
S:10:12:14,S,10,12,14,K,18,0
S:10:12:15,S,10,12,15,K,18,0
S:11:12:4,S,11,12,4,K,18,0
S:2:11:15,S,2,11,15,s,18,0
S:2:11:14,S,2,11,14,s,18,0
S:2:11:13,S,2,11,13,s,18,0
S:2:11:12,S,2,11,12,s,18,0
